dataset	split	n	mean_step_proxy	mean_unique_ops	compositional_rate_ge3	stateful_rate	bimanual_rate	unique_task_types_in_split	source_note
DreamZero-DROID	L1	50	1.1	1.1	0.0	0.3		50	Task-text heuristic from droid_3way_selected150.json (`task` field).
DreamZero-DROID	L2	50	1.32	1.32	0.08	0.34		49	Task-text heuristic from droid_3way_selected150.json (`task` field).
DreamZero-DROID	L3	50	1.34	1.34	0.06	0.32		49	Task-text heuristic from droid_3way_selected150.json (`task` field).
DreamZero-AgiBot	L1	50	2.62	2.06	0.32	0.02	0.3	6	Manifest action_plan statistics from the archived Agi_DualBetter splits.
DreamZero-AgiBot	L2	50	2.66	1.82	0.34	0.02	0.26	6	Manifest action_plan statistics from the archived Agi_DualBetter splits.
DreamZero-AgiBot	L3	50	3.26	3.26	0.6	0.6	0.22	4	Manifest action_plan statistics from the archived Agi_DualBetter splits.
DreamDojo-AgiBot	L1	50	2.76	2.06	0.38	0.0	0.32	6	Manifest action_plan statistics from the current 20260331 DreamDojo AgiBot splits.
DreamDojo-AgiBot	L2	50	3.02	2.18	0.54	0.06	0.18	6	Manifest action_plan statistics from the current 20260331 DreamDojo AgiBot splits.
DreamDojo-AgiBot	L3	50	4.36	4.36	0.74	0.74	0.54	4	Manifest action_plan statistics from the current 20260331 DreamDojo AgiBot splits.
DreamDojo-EgoDex	L1	133	2.0150375939849625	2.0150375939849625	0.007518796992481203	0.2631578947368421		6	Recovered from egodex_dreamdojo_easy400 source manifest by duration terciles; semantic proxy comes from task_group verb tokens.
DreamDojo-EgoDex	L2	133	2.1353383458646618	2.1353383458646618	0.06766917293233082	0.518796992481203		8	Recovered from egodex_dreamdojo_easy400 source manifest by duration terciles; semantic proxy comes from task_group verb tokens.
DreamDojo-EgoDex	L3	134	2.373134328358209	2.373134328358209	0.1865671641791045	0.7164179104477612		8	Recovered from egodex_dreamdojo_easy400 source manifest by duration terciles; semantic proxy comes from task_group verb tokens.
