dataset	split	n	mean_sec	median_sec	min_sec	max_sec	source_note	delta_vs_prev_sec	ratio_vs_prev	ratio_vs_L1	complexity_index_L1eq1
DreamDojo-AgiBot	L1	50	22.078001150840006	23.566667895000002	14.366667415	27.716668112	20260331 DreamDojo AgiBot submission manifests.			1.0	1.0
DreamDojo-AgiBot	L2	50	39.22200204506	32.3583350205	27.750001447	67.533336855	20260331 DreamDojo AgiBot submission manifests.	17.144000894219996	1.7765196123095461	1.7765196123095461	1.7765196123095461
DreamDojo-AgiBot	L3	50	135.10267371231998	135.583340404	68.466670237	264.216680446	20260331 DreamDojo AgiBot submission manifests.	95.88067166725997	3.444563425322041	6.119334480928755	6.119334480928755
DreamDojo-EgoDex	L1	133	2.9180451127819547	2.95	1.4	3.75	Recovered from the DreamDojo EgoDex easy400 source manifest by sorting all episodes by num_frames / 20fps and splitting into three duration terciles.			1.0	1.0
DreamDojo-EgoDex	L2	133	4.873684210526316	4.75	3.75	6.4	Recovered from the DreamDojo EgoDex easy400 source manifest by sorting all episodes by num_frames / 20fps and splitting into three duration terciles.	1.9556390977443616	1.670188095851585	1.670188095851585	1.670188095851585
DreamDojo-EgoDex	L3	134	12.899253731343284	11.025	6.45	39.75	Recovered from the DreamDojo EgoDex easy400 source manifest by sorting all episodes by num_frames / 20fps and splitting into three duration terciles.	8.025569520816969	2.6467151284613646	4.42051210066647	4.42051210066647
DreamZero-AgiBot	L1	50	21.404334449039997	21.658334462	14.300000745	27.150001415	Archived Agi_DualBetter L1/L2/L3 manifests.			1.0	1.0
DreamZero-AgiBot	L2	50	44.65766899524	43.8750022875	27.200001418	69.383336951	Archived Agi_DualBetter L1/L2/L3 manifests.	23.253334546200005	2.0863843770317714	2.0863843770317714	2.0863843770317714
DreamZero-AgiBot	L3	50	125.25133986520001	118.425006176	72.766670461	237.566679056	Archived Agi_DualBetter L1/L2/L3 manifests.	80.59367086996001	2.8046994543882344	5.851681123905147	5.851681123905147
DreamZero-DROID	L1	50	6.597333333333333	6.866666666666666	3.2	8.2	Archived table split durations from droid_3way_selected150.json (ep_len / 15).			1.0	1.0
DreamZero-DROID	L2	50	9.986666666666668	10.0	8.266666666666667	11.733333333333333	Archived table split durations from droid_3way_selected150.json (ep_len / 15).	3.389333333333335	1.5137429264349234	1.5137429264349234	1.5137429264349234
DreamZero-DROID	L3	50	15.518666666666668	15.133333333333333	11.8	28.533333333333335	Archived table split durations from droid_3way_selected150.json (ep_len / 15).	5.532	1.5539385847797063	2.352263540824576	2.352263540824576
