dataset	split	mode	success_rate	success_rate_pct
DreamDojo-AgiBot	L1	original	0.66	66.0
DreamDojo-AgiBot	L1	llm_dual	0.74	74.0
DreamDojo-AgiBot	L1	llm_val	0.76	76.0
DreamDojo-AgiBot	L2	original	0.34	34.0
DreamDojo-AgiBot	L2	llm_dual	0.44	44.0
DreamDojo-AgiBot	L2	llm_val	0.48	48.0
DreamDojo-AgiBot	L3	original	0.3	30.0
DreamDojo-AgiBot	L3	llm_dual	0.46	46.0
DreamDojo-AgiBot	L3	llm_val	0.5	50.0
DreamDojo-EgoDex	L1	original	0.36	36.0
DreamDojo-EgoDex	L1	llm_dual	0.34	34.0
DreamDojo-EgoDex	L1	llm_val	0.38	38.0
DreamDojo-EgoDex	L2	original	0.3	30.0
DreamDojo-EgoDex	L2	llm_dual	0.44	44.0
DreamDojo-EgoDex	L2	llm_val	0.48	48.0
DreamDojo-EgoDex	L3	original	0.22	22.0
DreamDojo-EgoDex	L3	llm_dual	0.34	34.0
DreamDojo-EgoDex	L3	llm_val	0.4	40.0
DreamZero-AgiBot	L1	original	0.3	30.0
DreamZero-AgiBot	L1	llm_dual	0.52	52.0
DreamZero-AgiBot	L1	llm_val	0.62	62.0
DreamZero-AgiBot	L2	original	0.22	22.0
DreamZero-AgiBot	L2	llm_dual	0.42	42.0
DreamZero-AgiBot	L2	llm_val	0.48	48.0
DreamZero-AgiBot	L3	original	0.16	16.0
DreamZero-AgiBot	L3	llm_dual	0.48	48.0
DreamZero-AgiBot	L3	llm_val	0.58	57.99999999999999
DreamZero-DROID	L1	original	0.3	30.0
DreamZero-DROID	L1	llm_dual	0.44	44.0
DreamZero-DROID	L1	llm_val	0.5	50.0
DreamZero-DROID	L2	original	0.18	18.0
DreamZero-DROID	L2	llm_dual	0.32	32.0
DreamZero-DROID	L2	llm_val	0.38	38.0
DreamZero-DROID	L3	original	0.22	22.0
DreamZero-DROID	L3	llm_dual	0.34	34.0
DreamZero-DROID	L3	llm_val	0.48	48.0
