dataset,split,comparison,metric,n_pairs,baseline_value,compare_value,effect_better_direction,test,gain_pairs,loss_pairs,p_value,p_value_bh,sig_bh
AgiBot,L1,original -> llm_dual,Success Rate,50,0.4,0.6,0.2,McNemar exact,10.0,0.0,0.002,0.0021,**
AgiBot,L1,original -> llm_dual,Task Progress,50,0.506,0.632,0.126,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L1,original -> llm_dual,Mean L2,50,0.0848,0.066,0.0188,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L1,original -> llm_dual,L2<0.1 Step Rate,50,0.7267,0.8733,0.1467,Wilcoxon paired,,,0.0005,0.0006,***
AgiBot,L1,original -> llm_val,Success Rate,48,0.4167,0.6458,0.2292,McNemar exact,12.0,1.0,0.0034,0.0034,**
AgiBot,L1,original -> llm_val,Task Progress,48,0.5229,0.6229,0.1,Wilcoxon paired,,,0.0012,0.0014,**
AgiBot,L1,original -> llm_val,Mean L2,48,0.0855,0.0688,0.0167,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L1,original -> llm_val,L2<0.1 Step Rate,48,0.7222,0.8889,0.1667,Wilcoxon paired,,,0.0003,0.0004,***
AgiBot,L2,original -> llm_dual,Success Rate,50,0.44,0.7,0.26,McNemar exact,13.0,0.0,0.0002,0.0004,***
AgiBot,L2,original -> llm_dual,Task Progress,50,0.45,0.658,0.208,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L2,original -> llm_dual,Mean L2,50,0.0895,0.0685,0.021,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L2,original -> llm_dual,L2<0.1 Step Rate,50,0.6333,0.82,0.1867,Wilcoxon paired,,,0.0002,0.0004,***
AgiBot,L2,original -> llm_val,Success Rate,49,0.449,0.6735,0.2245,McNemar exact,12.0,1.0,0.0034,0.0034,**
AgiBot,L2,original -> llm_val,Task Progress,49,0.4592,0.6204,0.1612,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L2,original -> llm_val,Mean L2,49,0.0897,0.0679,0.0217,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L2,original -> llm_val,L2<0.1 Step Rate,49,0.6327,0.8299,0.1973,Wilcoxon paired,,,0.0005,0.0006,***
AgiBot,L3,original -> llm_dual,Success Rate,50,0.24,0.76,0.52,McNemar exact,26.0,0.0,0.0,0.0,***
AgiBot,L3,original -> llm_dual,Task Progress,50,0.422,0.65,0.228,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L3,original -> llm_dual,Mean L2,50,0.0715,0.0553,0.0162,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L3,original -> llm_dual,L2<0.1 Step Rate,50,0.82,0.9467,0.1267,Wilcoxon paired,,,0.0004,0.0006,***
AgiBot,L3,original -> llm_val,Success Rate,50,0.24,0.58,0.34,McNemar exact,19.0,2.0,0.0002,0.0004,***
AgiBot,L3,original -> llm_val,Task Progress,50,0.422,0.574,0.152,Wilcoxon paired,,,0.0001,0.0001,***
AgiBot,L3,original -> llm_val,Mean L2,50,0.0715,0.0563,0.0153,Wilcoxon paired,,,0.0,0.0,***
AgiBot,L3,original -> llm_val,L2<0.1 Step Rate,50,0.82,0.9667,0.1467,Wilcoxon paired,,,0.0002,0.0004,***
