dataset,split,comparison,n_base,n_compare,baseline_successes,compare_successes,baseline_sr,compare_sr,delta_sr_pp,test,p_value,p_value_bh,sig_bh
DROID,L1,original -> llm_dual,50,50,15,22,0.3,0.44,14.0,Fisher exact (count-based),0.2137,0.2332,
DROID,L1,original -> llm_val,50,50,15,25,0.3,0.5,20.0,Fisher exact (count-based),0.0656,0.0874,
DROID,L2,original -> llm_dual,50,50,9,16,0.18,0.32,14.0,Fisher exact (count-based),0.1652,0.1982,
DROID,L2,original -> llm_val,50,50,9,19,0.18,0.38,20.0,Fisher exact (count-based),0.044,0.0754,
DROID,L3,original -> llm_dual,50,50,11,17,0.22,0.34,12.0,Fisher exact (count-based),0.2653,0.2653,
DROID,L3,original -> llm_val,50,50,11,24,0.22,0.48,26.0,Fisher exact (count-based),0.0113,0.0272,*
AgiBot,L1,original -> llm_dual,50,50,15,26,0.3,0.52,22.0,Fisher exact (count-based),0.0414,0.0754,
AgiBot,L1,original -> llm_val,50,50,15,31,0.3,0.62,32.0,Fisher exact (count-based),0.0024,0.0098,**
AgiBot,L2,original -> llm_dual,50,50,11,21,0.22,0.42,20.0,Fisher exact (count-based),0.0528,0.0792,
AgiBot,L2,original -> llm_val,50,50,11,24,0.22,0.48,26.0,Fisher exact (count-based),0.0113,0.0272,*
AgiBot,L3,original -> llm_dual,50,50,8,24,0.16,0.48,32.0,Fisher exact (count-based),0.0011,0.0067,**
AgiBot,L3,original -> llm_val,50,50,8,29,0.16,0.58,42.0,Fisher exact (count-based),0.0,0.0003,***
