dataset,split,mode,point_label,avg_duration_sec,success_rate,task_progress,mean_l2,success_rate_ci_lo,success_rate_ci_hi
AgiBot,L1,llm_dual,AgiBot-L1,22.0,0.52,0.574,0.0685,0.38,0.66
AgiBot,L2,llm_dual,AgiBot-L2,42.0,0.42,0.502,0.0745,0.28,0.56
AgiBot,L3,llm_dual,AgiBot-L3,126.0,0.48,0.536,0.0614,0.34,0.62
AgiBot,L1,llm_val,AgiBot-L1,22.0,0.62,0.624,0.0672,0.48,0.76
AgiBot,L2,llm_val,AgiBot-L2,42.0,0.48,0.542,0.0704,0.34,0.62
AgiBot,L3,llm_val,AgiBot-L3,126.0,0.58,0.584,0.0593,0.44,0.72
AgiBot,L1,original,AgiBot-L1,22.0,0.3,0.46,0.0845,0.18,0.42
AgiBot,L2,original,AgiBot-L2,42.0,0.22,0.416,0.0942,0.12,0.34
AgiBot,L3,original,AgiBot-L3,126.0,0.16,0.406,0.0748,0.06,0.28
DROID,L1,llm_dual,DROID-L1,6.597333333333333,0.44,0.52,0.1095,0.3,0.58
DROID,L2,llm_dual,DROID-L2,9.986666666666668,0.32,0.48,0.1089,0.2,0.44
DROID,L3,llm_dual,DROID-L3,15.518666666666668,0.34,0.464,0.1125,0.22,0.48
DROID,L1,llm_val,DROID-L1,6.597333333333333,0.5,0.574,0.1075,0.36,0.64
DROID,L2,llm_val,DROID-L2,9.986666666666668,0.38,0.524,0.1032,0.24,0.52
DROID,L3,llm_val,DROID-L3,15.518666666666668,0.48,0.538,0.1071,0.34,0.62
DROID,L1,original,DROID-L1,6.597333333333333,0.3,0.492,0.1291,0.18,0.42
DROID,L2,original,DROID-L2,9.986666666666668,0.18,0.42,0.1255,0.08,0.3
DROID,L3,original,DROID-L3,15.518666666666668,0.22,0.434,0.1389,0.12,0.34
