dataset,split,mode,n,mean_l2,task_progress,success_rate,l2_lt_0_1,success_count,fail_count,success_rate_ci_lo,success_rate_ci_hi,split_order,avg_duration_sec
AgiBot,L1,original,50,0.0845,0.46,0.3,0.72,15,35,0.18,0.42,0,22.0
AgiBot,L2,original,50,0.0942,0.416,0.22,0.52,11,39,0.12,0.34,1,42.0
AgiBot,L3,original,50,0.0748,0.406,0.16,0.773,8,42,0.06,0.28,2,126.0
AgiBot,L1,llm_dual,50,0.0685,0.574,0.52,0.84,26,24,0.38,0.66,0,22.0
AgiBot,L2,llm_dual,50,0.0745,0.502,0.42,0.747,21,29,0.28,0.56,1,42.0
AgiBot,L3,llm_dual,50,0.0614,0.536,0.48,0.907,24,26,0.34,0.62,2,126.0
AgiBot,L1,llm_val,50,0.0672,0.624,0.62,0.893,31,19,0.48,0.76,0,22.0
AgiBot,L2,llm_val,50,0.0704,0.542,0.48,0.8,24,26,0.34,0.62,1,42.0
AgiBot,L3,llm_val,50,0.0593,0.584,0.58,0.967,29,21,0.44,0.72,2,126.0
DROID,L1,original,50,0.1291,0.492,0.3,0.487,15,35,0.18,0.42,0,
DROID,L2,original,50,0.1255,0.42,0.18,0.52,9,41,0.08,0.3,1,
DROID,L3,original,50,0.1389,0.434,0.22,0.48,11,39,0.12,0.34,2,
DROID,L1,llm_dual,50,0.1095,0.52,0.44,0.613,22,28,0.3,0.58,0,
DROID,L2,llm_dual,50,0.1089,0.48,0.32,0.587,16,34,0.2,0.44,1,
DROID,L3,llm_dual,50,0.1125,0.464,0.34,0.52,17,33,0.22,0.48,2,
DROID,L1,llm_val,50,0.1075,0.574,0.5,0.6,25,25,0.36,0.64,0,
DROID,L2,llm_val,50,0.1032,0.524,0.38,0.627,19,31,0.24,0.52,1,
DROID,L3,llm_val,50,0.1071,0.538,0.48,0.58,24,26,0.34,0.62,2,
