dataset,mode,split_left,split_right,n_left,n_right,success_left,success_right,success_rate_left,success_rate_right,odds_ratio,p_value,p_value_bh
AgiBot,llm_dual,L1,L2,50,50,26,21,0.52,0.42,1.496031746031746,0.42304407920668047,0.7252184214971668
AgiBot,llm_dual,L2,L3,50,50,21,24,0.42,0.48,0.7844827586206896,0.6879070028164519,0.8254884033797423
AgiBot,llm_val,L1,L2,50,50,31,24,0.62,0.48,1.7675438596491229,0.22764516476314184,0.7252184214971668
AgiBot,llm_val,L2,L3,50,50,24,29,0.48,0.58,0.6684350132625995,0.4230440792066806,0.7252184214971668
AgiBot,original,L1,L2,50,50,15,11,0.3,0.22,1.5194805194805194,0.4945011595032016,0.7417517392548024
AgiBot,original,L2,L3,50,50,11,8,0.22,0.16,1.4807692307692308,0.6110593016041338,0.8147457354721784
DROID,llm_dual,L1,L2,50,50,22,16,0.44,0.32,1.6696428571428572,0.30296609411922387,0.7252184214971668
DROID,llm_dual,L2,L3,50,50,16,17,0.32,0.34,0.9134948096885813,1.0,1.0
DROID,llm_val,L1,L2,50,50,25,19,0.5,0.38,1.631578947368421,0.3138258792957574,0.7252184214971668
DROID,llm_val,L2,L3,50,50,19,24,0.38,0.48,0.6639784946236559,0.4192917886888185,0.7252184214971668
DROID,original,L1,L2,50,50,15,9,0.3,0.18,1.9523809523809523,0.24142379746764064,0.7252184214971668
DROID,original,L2,L3,50,50,9,11,0.18,0.22,0.7782705099778271,0.8031287822934503,0.876140489774673
