dataset,mode_label,duration_bucket_abs,n,success_rate,success_rate_ci_lo,success_rate_ci_hi,mean_task_progress,mean_l2
AgiBot,llm_dual,0-30s,132,0.4015151515151515,0.3181818181818182,0.48484848484848486,0.5106060606060605,0.07482625793364613
AgiBot,llm_dual,30-60s,56,0.3392857142857143,0.21428571428571427,0.4642857142857143,0.4839285714285714,0.07004125585912595
AgiBot,llm_dual,60-120s,50,0.66,0.52,0.8,0.59,0.05929767588774364
AgiBot,llm_dual,120s+,61,0.29508196721311475,0.18032786885245902,0.4098360655737705,0.48524590163934417,0.062002572256440666
AgiBot,llm_val,0-30s,133,0.42857142857142855,0.3458646616541353,0.5112781954887218,0.5075187969924813,0.07253136821931466
AgiBot,llm_val,30-60s,56,0.42857142857142855,0.30357142857142855,0.5535714285714286,0.5142857142857142,0.06961379206872412
AgiBot,llm_val,60-120s,49,0.5918367346938775,0.4489795918367347,0.7346938775510204,0.5918367346938774,0.057923962419130365
AgiBot,llm_val,120s+,61,0.2786885245901639,0.16393442622950818,0.39344262295081966,0.4672131147540982,0.0619099213960555
AgiBot,original,0-30s,133,0.39849624060150374,0.3157894736842105,0.48120300751879697,0.512781954887218,0.08581792955802645
AgiBot,original,30-60s,56,0.42857142857142855,0.30357142857142855,0.5535714285714286,0.5071428571428571,0.08182993617707066
AgiBot,original,60-120s,50,0.32,0.2,0.46,0.44800000000000006,0.07635162250449261
AgiBot,original,120s+,61,0.26229508196721313,0.16393442622950818,0.3770491803278688,0.45901639344262285,0.0670725964722249
DROID,llm_dual,0-30s,397,0.3022670025188917,0.25692695214105793,0.34760705289672544,0.45843828715365237,0.11554029521114982
DROID,llm_dual,30-60s,3,0.3333333333333333,0.0,1.0,0.3333333333333333,0.1192043707133938
DROID,llm_val,0-30s,396,0.2878787878787879,0.24494949494949494,0.33080808080808083,0.45454545454545453,0.1147320900766845
DROID,llm_val,30-60s,3,0.0,0.0,0.0,0.19999999999999998,0.12830401365383906
DROID,original,0-30s,397,0.32997481108312343,0.28463476070528965,0.37531486146095716,0.4869017632241814,0.1291343842886656
DROID,original,30-60s,3,0.0,0.0,0.0,0.26666666666666666,0.15665202552395877
