Split	Mode	Episodes	Mean L2	Task Progress	SR	L2<0.1	Mean Plan Time
L1	task_token_only	50	0.1291	0.492	30.0%	48.7%	0.00s
L1	dual_llm	50	0.1095	0.520	44.0%	61.3%	1.46s
L1	llm_val	50	0.1075	0.574	50.0%	60.0%	4.31s
L2	task_token_only	50	0.1255	0.420	18.0%	52.0%	0.00s
L2	dual_llm	50	0.1089	0.480	32.0%	58.7%	1.39s
L2	llm_val	50	0.1032	0.524	38.0%	62.7%	4.43s
L3	task_token_only	50	0.1389	0.434	20.0%	48.0%	0.00s
L3	dual_llm	50	0.1125	0.464	34.0%	52.0%	1.37s
L3	llm_val	50	0.1071	0.538	48.0%	58.0%	4.40s
ALL	task_token_only	150	0.1312	0.449	22.7%	49.6%	0.00s
ALL	dual_llm	150	0.1103	0.488	36.7%	57.3%	1.41s
ALL	llm_val	150	0.1059	0.545	45.3%	60.2%	4.38s
