task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
367,649524000,0,0.379,1.000,1.000,22.421254450479367,0.9434429109096527
367,649524001,0,0.085,1.000,1.000,19.389001681851514,0.8837408930063247
367,649524002,0,0.164,0.974,1.000,22.024069386090524,0.9141506634909531
367,649524003,0,0.151,1.000,1.000,18.773894546323525,0.9011036046913692
367,649559000,0,0.255,1.000,1.000,22.872972560993837,0.9426574959204748
367,649559001,0,0.129,1.000,1.000,19.228374755574244,0.8936865787420954
367,649559002,0,0.235,0.842,1.000,21.553019387800312,0.9142852681023734
367,649559003,0,0.080,0.941,1.000,19.584418539678623,0.9017224893337343
367,650191000,0,0.239,1.000,1.000,20.557835527738458,0.8964028719699744
367,650191001,0,0.174,1.000,1.000,19.97276668692475,0.9068911150097847
367,650191002,0,0.220,1.000,1.000,20.406092423814055,0.9117789079745611
367,650191003,0,0.110,1.000,1.000,21.162363785858325,0.9021276187512183
392,651464000,0,0.261,1.000,1.000,24.645700098186442,0.9501808600293266
392,651464001,0,0.000,0.000,0.000,21.324124821024736,0.9379261858535536
392,651464002,0,0.243,1.000,1.000,22.637437278414527,0.9646266945030378
392,651464003,0,0.227,1.000,1.000,22.129098998118153,0.9354370510578156
392,651464004,0,0.227,1.000,1.000,21.967743828902194,0.9692748059397158
392,651464005,0,0.105,0.365,0.912,19.4531951127573,0.9087782800197601
392,651464006,0,0.101,0.986,0.804,19.138897654857008,0.8708608419927832
392,651464007,0,0.098,0.664,0.824,21.81571743086694,0.9242341415956616
392,651464008,0,0.236,1.000,1.000,23.19534259831472,0.9640608709305525
392,651464009,0,0.293,1.000,1.000,22.539119053881002,0.9424864374674283
392,651464010,0,0.148,1.000,1.000,22.553422409974093,0.9327299656967322
392,651464011,0,0.247,1.000,1.000,22.268522644847703,0.9404406218152297
392,651464012,0,0.186,1.000,0.715,19.518051838873443,0.8949346580566504
392,651464013,0,0.042,1.000,0.518,23.412712194997372,0.9604145516951879
392,651464014,0,0.000,0.000,0.000,21.78855676475712,0.9305606360236803
392,664600000,0,0.188,0.302,0.821,22.403663392822093,0.9388756173849105
392,664600001,0,0.163,0.622,0.600,22.370541482923525,0.9605321668345352
392,664600002,0,0.086,0.690,0.657,20.21178562218899,0.9405533901669763
392,664600003,0,0.000,0.000,0.000,19.492142474952207,0.9185984954237938
392,664600004,0,0.098,1.000,1.000,20.81458380993909,0.955103946359534
392,664600005,0,0.150,0.840,0.688,20.445675840204505,0.9290728271007538
392,664600006,0,0.149,1.000,1.000,18.64069480845895,0.8862383346088597
392,664600007,0,0.114,0.987,1.000,22.11133745338081,0.9212245538428023
392,664600008,0,0.014,0.097,0.541,19.55096286181522,0.904664825797081
392,664600009,0,0.000,0.000,0.000,20.79732023177188,0.9570686609848685
392,664600010,0,0.000,0.000,0.000,20.304225681338867,0.9425311643968929
392,664600011,0,0.185,1.000,1.000,20.88573318972687,0.9613816860047254
392,664600012,0,0.078,0.875,0.914,20.077978337384106,0.9354659095406532
392,664600013,0,0.092,0.495,0.417,23.023245988857465,0.9630193836413897
392,664600014,0,0.278,0.466,0.685,19.86521983247481,0.9012380689382553
392,681186000,0,0.231,1.000,1.000,20.880710982502897,0.9244986492044786
392,681186001,0,0.159,0.414,1.000,20.03784621840125,0.9215175383018724
392,681186002,0,0.203,1.000,1.000,19.763897329309124,0.9371730347474416
392,681186003,0,0.231,1.000,1.000,20.86360261846232,0.9232625278030954
392,681186004,0,0.186,1.000,1.000,21.287429587891122,0.9657192843801835
392,681186005,0,0.147,0.800,1.000,20.052309674540005,0.9379669174551963
392,681186006,0,0.324,1.000,1.000,18.04358844300142,0.8718361955578044
392,681186007,0,0.136,0.624,1.000,20.909395319673692,0.9354322901793889
MEAN,,,0.15694,0.77968,0.82192,20.983352,0.927438
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
