task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
367,649524000,0,0.006,0.104,0.064,11.852059027248036,0.8312334004909762
367,649524001,0,0.001,0.112,0.068,11.288165704281749,0.9305214391600701
367,649524002,0,0.001,0.075,0.043,11.297628433597303,0.9565655301014583
367,649524003,0,0.001,0.093,0.064,11.631876100406908,0.7912134093542894
367,649559000,0,0.001,0.108,0.063,11.142801852225256,0.8587744412598787
367,649559001,0,0.000,0.120,0.079,11.521835316659718,0.8079621976819532
367,649559002,0,0.000,0.077,0.037,11.380133242637905,0.9217311534388312
367,649559003,0,0.001,0.087,0.062,11.465820487970616,0.803316691446872
367,650191000,0,0.000,0.111,0.060,10.931415718076442,0.8251846599228242
367,650191001,0,0.000,0.107,0.064,10.95819294686932,0.873322791066663
367,650191002,0,0.000,0.134,0.050,11.183101621297363,0.8821962716117981
367,650191003,0,0.000,0.097,0.056,10.672748073502259,0.8285649064928293
392,651464000,0,0.001,0.140,0.071,11.320694338144692,0.8169796592310855
392,651464001,0,0.000,0.000,0.000,11.839622898594639,0.7762546302641139
392,651464002,0,0.000,0.000,0.000,12.128678965550096,0.8229580683012804
392,651464003,0,0.000,0.113,0.055,12.304384398655316,0.8561223195149348
392,651464004,0,0.065,0.121,0.067,13.020532734482128,0.9098688376446565
392,651464005,0,0.000,0.000,0.000,12.736576425122566,0.8462610235985588
392,651464006,0,0.000,0.000,0.000,11.90431992914816,0.7107745163344048
392,651464007,0,0.001,0.067,0.032,12.600602662998158,0.7575542384927924
392,651464008,0,0.000,0.000,0.000,12.528682678017878,0.7702519220836235
392,651464009,0,0.001,0.129,0.062,12.325935560634473,0.8200038948229381
392,651464010,0,0.005,0.088,0.049,11.903916025208067,0.8129796397686004
392,651464011,0,0.000,0.000,0.000,13.132747332854573,0.8632936775684357
392,651464012,0,0.000,0.000,0.000,13.197188526781915,0.873168770596385
392,651464013,0,0.000,0.000,0.000,12.427406198288455,0.8413335094528813
392,651464014,0,0.000,0.000,0.000,11.986020648033517,0.7525926049874754
392,664600000,0,0.002,0.077,0.043,10.577770489167143,0.8140561174528271
392,664600001,0,0.000,0.000,0.000,11.205327426228118,0.9812883496284485
392,664600002,0,0.000,0.000,0.000,11.106667515456047,0.9784009741700214
392,664600003,0,0.001,0.085,0.048,11.991661360659169,0.836517945334718
392,664600004,0,0.000,0.000,0.000,12.393159383717526,0.9258617222309112
392,664600005,0,0.001,0.071,0.041,11.982862815028543,0.7640218576698592
392,664600006,0,0.002,0.094,0.058,11.386562297479621,0.7596551559625133
392,664600007,0,0.001,0.055,0.027,11.857050397094643,0.7897640972545272
392,664600008,0,0.003,0.079,0.062,11.39666362031387,0.7479446331659952
392,664600009,0,0.000,0.000,0.000,12.234938924205087,0.8342503619690737
392,664600010,0,0.004,0.094,0.050,12.578357452548788,0.9050132204657015
392,664600011,0,0.000,0.000,0.000,12.5337589474742,0.8720087953235792
392,664600012,0,0.001,0.134,0.103,12.301766426914496,0.8350007931391398
392,664600013,0,0.000,0.127,0.066,12.391509273319384,0.9333019355932871
392,664600014,0,0.004,0.069,0.038,11.947101812608992,0.771161934001404
392,681186000,0,0.001,0.097,0.170,9.78831147401517,0.7727250009775162
392,681186001,0,0.001,0.125,0.061,10.206782029467846,0.7739004440167371
392,681186002,0,0.000,0.117,0.061,10.482484547037444,0.872310834005475
392,681186003,0,0.000,0.087,0.047,10.608882159775696,0.7693662448298364
392,681186004,0,0.000,0.000,0.000,11.227207826794778,0.8373121950361464
392,681186005,0,0.000,0.091,0.052,11.764980694410303,0.8499026539779845
392,681186006,0,0.001,0.100,0.087,10.754541510000422,0.7201581095655759
392,681186007,0,0.004,0.059,0.046,11.286502926519661,0.8914370644423697
MEAN,,,0.0022,0.06888,0.04212,11.693759,0.835527
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
