task,success,episodes,accuracy,accepted_seeds
handover_block,0,10,0.0,"100000 100002 100003 100004 100006 100007 100008 100009 100010 100011"
open_microwave,2,10,0.2,"100001 100002 100003 100004 100005 100006 100007 100010 100011 100013"
place_dual_shoes,2,10,0.2,"100001 100002 100007 100008 100009 100012 100013 100019 100020 100021"
stamp_seal,4,10,0.4,"100000 100001 100004 100005 100006 100007 100008 100010 100011 100013"
blocks_ranking_size,4,10,0.4,"100000 100001 100002 100003 100004 100005 100006 100007 100008 100009"
move_can_pot,7,10,0.7,"100000 100001 100002 100003 100005 100006 100007 100008 100009 100010"
turn_switch,4,10,0.4,"100000 100001 100002 100004 100006 100007 100008 100009 100010 100011"
stack_blocks_three,4,10,0.4,"100000 100001 100002 100003 100004 100005 100006 100008 100009 100010"
stack_bowls_three,6,10,0.6,"100000 100001 100002 100004 100006 100008 100009 100015 100016 100017"
beat_block_hammer,8,10,0.8,"100002 100003 100005 100006 100007 100008 100009 100010 100011 100012"
overall,41,100,0.41,""
